Mesocosm,week,compartment,shaded,N
3,0,IV3,TRUE,0
3,0,S,TRUE,5
3,0,SV,TRUE,5
3,1,I1,TRUE,2
3,1,I2,TRUE,2
3,1,I3,TRUE,1
3,1,IV1,TRUE,0
3,1,IV2,TRUE,2
3,1,IV3,TRUE,1
3,1,S,TRUE,3
3,1,SV,TRUE,6
3,2,I1,TRUE,4
3,2,I2,TRUE,3
3,2,I3,TRUE,0
3,2,IV1,TRUE,4
3,2,IV2,TRUE,5
3,2,IV3,TRUE,0
3,2,S,TRUE,0
3,2,SV,TRUE,1
3,4,I1,TRUE,2
3,4,I2,TRUE,4
3,4,I3,TRUE,1
3,4,IV1,TRUE,1
3,4,IV2,TRUE,6
3,4,IV3,TRUE,2
3,4,S,TRUE,0
3,4,SV,TRUE,0
3,6,I1,TRUE,0
3,6,I2,TRUE,3
3,6,I3,TRUE,0
3,6,IV1,TRUE,0
3,6,IV2,TRUE,9
3,6,IV3,TRUE,1
3,6,S,TRUE,0
3,6,SV,TRUE,0
3,8,I1,TRUE,0
3,8,I2,TRUE,2
3,8,I3,TRUE,1
3,8,IV1,TRUE,0
3,8,IV2,TRUE,6
3,8,IV3,TRUE,2
3,8,S,TRUE,0
3,8,SV,TRUE,0
3,10,I1,TRUE,0
3,10,I2,TRUE,0
3,10,I3,TRUE,2
3,10,IV1,TRUE,0
3,10,IV2,TRUE,2
3,10,IV3,TRUE,3
3,10,S,TRUE,0
3,10,SV,TRUE,3
3,15,I1,TRUE,0
3,15,I2,TRUE,0
3,15,I3,TRUE,0
3,15,IV1,TRUE,0
3,15,IV2,TRUE,0
3,15,IV3,TRUE,1
3,15,S,TRUE,0
3,15,SV,TRUE,10
5,0,I1,TRUE,5
5,0,I2,TRUE,0
5,0,I3,TRUE,0
5,0,IV1,TRUE,5
5,0,IV2,TRUE,0
5,0,IV3,TRUE,0
5,0,S,TRUE,5
5,0,SV,TRUE,5
5,1,I1,TRUE,3
5,1,I2,TRUE,0
5,1,I3,TRUE,0
5,1,IV1,TRUE,2
5,1,IV2,TRUE,2
5,1,IV3,TRUE,1
5,1,S,TRUE,4
5,1,SV,TRUE,5
5,2,I1,TRUE,6
5,2,I2,TRUE,2
5,2,I3,TRUE,0
5,2,IV1,TRUE,3
5,2,IV2,TRUE,3
5,2,IV3,TRUE,0
5,2,S,TRUE,2
5,2,SV,TRUE,3
5,4,I1,TRUE,5
5,4,I2,TRUE,4
5,4,I3,TRUE,1
5,4,IV1,TRUE,2
5,4,IV2,TRUE,5
5,4,IV3,TRUE,2
5,4,S,TRUE,0
5,4,SV,TRUE,1
5,6,I1,TRUE,2
5,6,I2,TRUE,4
5,6,I3,TRUE,0
5,6,IV1,TRUE,0
5,6,IV2,TRUE,7
5,6,IV3,TRUE,3
5,6,S,TRUE,0
5,6,SV,TRUE,1
5,8,I1,TRUE,1
5,8,I2,TRUE,0
5,8,I3,TRUE,7
5,8,IV1,TRUE,0
5,8,IV2,TRUE,3
5,8,IV3,TRUE,4
5,8,S,TRUE,0
5,8,SV,TRUE,3
5,10,I1,TRUE,0
5,10,I2,TRUE,0
5,10,I3,TRUE,4
5,10,IV1,TRUE,3
5,10,IV2,TRUE,2
5,10,IV3,TRUE,2
5,10,S,TRUE,0
5,10,SV,TRUE,5
5,15,I1,TRUE,0
5,15,I2,TRUE,0
5,15,I3,TRUE,1
5,15,IV1,TRUE,0
5,15,IV2,TRUE,0
5,15,IV3,TRUE,4
5,15,S,TRUE,0
5,15,SV,TRUE,12
6,0,I1,FALSE,5
6,0,I2,FALSE,0
6,0,I3,FALSE,0
6,0,IV1,FALSE,2
6,0,IV2,FALSE,3
6,0,IV3,FALSE,0
6,0,S,FALSE,5
6,0,SV,FALSE,5
6,1,I1,FALSE,5
6,1,I2,FALSE,0
6,1,I3,FALSE,0
6,1,IV1,FALSE,1
6,1,IV2,FALSE,4
6,1,IV3,FALSE,1
6,1,S,FALSE,3
6,1,SV,FALSE,3
6,2,I1,FALSE,3
6,2,I2,FALSE,3
6,2,I3,FALSE,0
6,2,IV1,FALSE,1
6,2,IV2,FALSE,5
6,2,IV3,FALSE,0
6,2,S,FALSE,1
6,2,SV,FALSE,3
6,4,I1,FALSE,3
6,4,I2,FALSE,3
6,4,I3,FALSE,0
6,4,IV1,FALSE,2
6,4,IV2,FALSE,4
6,4,IV3,FALSE,3
6,4,S,FALSE,0
6,4,SV,FALSE,0
6,6,I1,FALSE,0
6,6,I2,FALSE,2
6,6,I3,FALSE,2
6,6,IV1,FALSE,0
6,6,IV2,FALSE,4
6,6,IV3,FALSE,5
6,6,S,FALSE,0
6,6,SV,FALSE,0
6,8,I1,FALSE,0
6,8,I2,FALSE,1
6,8,I3,FALSE,1
6,8,IV1,FALSE,0
6,8,IV2,FALSE,2
6,8,IV3,FALSE,3
6,8,S,FALSE,0
6,8,SV,FALSE,3
6,10,I1,FALSE,0
6,10,I2,FALSE,0
6,10,I3,FALSE,1
6,10,IV1,FALSE,3
6,10,IV2,FALSE,0
6,10,IV3,FALSE,0
6,10,S,FALSE,0
6,10,SV,FALSE,7
6,15,I1,FALSE,0
6,15,I2,FALSE,0
6,15,I3,FALSE,0
6,15,IV1,FALSE,1
6,15,IV2,FALSE,0
6,15,IV3,FALSE,0
6,15,S,FALSE,0
6,15,SV,FALSE,8
8,0,I1,FALSE,5
8,0,I2,FALSE,0
8,0,I3,FALSE,0
8,0,IV1,FALSE,5
8,0,IV2,FALSE,0
8,0,IV3,FALSE,0
8,0,S,FALSE,5
8,0,SV,FALSE,5
8,1,I1,FALSE,5
8,1,I2,FALSE,0
8,1,I3,FALSE,0
8,1,IV1,FALSE,2
8,1,IV2,FALSE,0
8,1,IV3,FALSE,2
8,1,S,FALSE,5
8,1,SV,FALSE,5
8,2,I1,FALSE,1
8,2,I2,FALSE,3
8,2,I3,FALSE,0
8,2,IV1,FALSE,1
8,2,IV2,FALSE,3
8,2,IV3,FALSE,1
8,2,S,FALSE,5
8,2,SV,FALSE,4
8,4,I1,FALSE,5
8,4,I2,FALSE,3
8,4,I3,FALSE,1
8,4,IV1,FALSE,4
8,4,IV2,FALSE,2
8,4,IV3,FALSE,2
8,4,S,FALSE,0
8,4,SV,FALSE,1
8,6,I1,FALSE,2
8,6,I2,FALSE,3
8,6,I3,FALSE,2
8,6,IV1,FALSE,3
8,6,IV2,FALSE,3
8,6,IV3,FALSE,1
8,6,S,FALSE,0
8,6,SV,FALSE,2
8,8,I1,FALSE,0
8,8,I2,FALSE,1
8,8,I3,FALSE,5
8,8,IV1,FALSE,1
8,8,IV2,FALSE,0
8,8,IV3,FALSE,6
8,8,S,FALSE,0
8,8,SV,FALSE,3
8,10,I1,FALSE,0
8,10,I2,FALSE,0
8,10,I3,FALSE,4
8,10,IV1,FALSE,6
8,10,IV2,FALSE,0
8,10,IV3,FALSE,2
8,10,S,FALSE,0
8,10,SV,FALSE,4
8,15,I1,FALSE,0
8,15,I2,FALSE,0
8,15,I3,FALSE,0
8,15,IV1,FALSE,1
8,15,IV2,FALSE,0
8,15,IV3,FALSE,0
8,15,S,FALSE,0
8,15,SV,FALSE,16
9,0,I1,TRUE,5
9,0,I2,TRUE,0
9,0,I3,TRUE,0
9,0,IV1,TRUE,5
9,0,IV2,TRUE,0
9,0,IV3,TRUE,0
9,0,S,TRUE,5
9,0,SV,TRUE,5
9,1,I1,TRUE,5
9,1,I2,TRUE,0
9,1,I3,TRUE,1
9,1,IV1,TRUE,0
9,1,IV2,TRUE,1
9,1,IV3,TRUE,1
9,1,S,TRUE,4
9,1,SV,TRUE,8
9,2,I1,TRUE,1
9,2,I2,TRUE,1
9,2,I3,TRUE,1
9,2,IV1,TRUE,0
9,2,IV2,TRUE,3
9,2,IV3,TRUE,1
9,2,S,TRUE,3
9,2,SV,TRUE,7
9,4,I1,TRUE,3
9,4,I2,TRUE,2
9,4,I3,TRUE,0
9,4,IV1,TRUE,3
9,4,IV2,TRUE,3
9,4,IV3,TRUE,2
9,4,S,TRUE,1
9,4,SV,TRUE,3
9,6,I1,TRUE,2
9,6,I2,TRUE,2
9,6,I3,TRUE,1
9,6,IV1,TRUE,3
9,6,IV2,TRUE,8
9,6,IV3,TRUE,0
9,6,S,TRUE,0
9,6,SV,TRUE,0
9,8,I1,TRUE,1
9,8,I2,TRUE,2
9,8,I3,TRUE,2
9,8,IV1,TRUE,1
9,8,IV2,TRUE,5
9,8,IV3,TRUE,6
9,8,S,TRUE,0
9,8,SV,TRUE,0
9,10,I1,TRUE,0
9,10,I2,TRUE,0
9,10,I3,TRUE,3
9,10,IV1,TRUE,0
9,10,IV2,TRUE,4
9,10,IV3,TRUE,3
9,10,S,TRUE,0
9,10,SV,TRUE,7
9,15,I1,TRUE,0
9,15,I2,TRUE,0
9,15,I3,TRUE,1
9,15,IV1,TRUE,1
9,15,IV2,TRUE,0
9,15,IV3,TRUE,2
9,15,S,TRUE,0
9,15,SV,TRUE,13
11,0,I1,TRUE,5
11,0,I2,TRUE,0
11,0,I3,TRUE,0
11,0,IV1,TRUE,5
11,0,IV2,TRUE,0
11,0,IV3,TRUE,0
11,0,S,TRUE,5
11,0,SV,TRUE,5
11,1,I1,TRUE,1
11,1,I2,TRUE,0
11,1,I3,TRUE,2
11,1,IV1,TRUE,0
11,1,IV2,TRUE,1
11,1,IV3,TRUE,1
11,1,S,TRUE,2
11,1,SV,TRUE,5
11,2,I1,TRUE,0
11,2,I2,TRUE,1
11,2,I3,TRUE,0
11,2,IV1,TRUE,2
11,2,IV2,TRUE,3
11,2,IV3,TRUE,0
11,2,S,TRUE,2
11,2,SV,TRUE,4
11,4,I1,TRUE,1
11,4,I2,TRUE,1
11,4,I3,TRUE,0
11,4,IV1,TRUE,2
11,4,IV2,TRUE,4
11,4,IV3,TRUE,2
11,4,S,TRUE,1
11,4,SV,TRUE,1
11,6,I1,TRUE,2
11,6,I2,TRUE,1
11,6,I3,TRUE,0
11,6,IV1,TRUE,4
11,6,IV2,TRUE,4
11,6,IV3,TRUE,0
11,6,S,TRUE,0
11,6,SV,TRUE,0
11,8,I1,TRUE,1
11,8,I2,TRUE,0
11,8,I3,TRUE,2
11,8,IV1,TRUE,1
11,8,IV2,TRUE,4
11,8,IV3,TRUE,2
11,8,S,TRUE,0
11,8,SV,TRUE,0
11,10,I1,TRUE,0
11,10,I2,TRUE,0
11,10,I3,TRUE,3
11,10,IV1,TRUE,2
11,10,IV2,TRUE,2
11,10,IV3,TRUE,3
11,10,S,TRUE,0
11,10,SV,TRUE,2
11,15,I1,TRUE,0
11,15,I2,TRUE,0
11,15,I3,TRUE,1
11,15,IV1,TRUE,0
11,15,IV2,TRUE,0
11,15,IV3,TRUE,0
11,15,S,TRUE,0
11,15,SV,TRUE,11
12,0,I1,FALSE,5
12,0,I2,FALSE,0
12,0,I3,FALSE,0
12,0,IV1,FALSE,5
12,0,IV2,FALSE,0
12,0,IV3,FALSE,0
12,0,S,FALSE,5
12,0,SV,FALSE,5
12,1,I1,FALSE,4
12,1,I2,FALSE,0
12,1,I3,FALSE,1
12,1,IV1,FALSE,1
12,1,IV2,FALSE,0
12,1,IV3,FALSE,2
12,1,S,FALSE,4
12,1,SV,FALSE,8
12,2,I1,FALSE,2
12,2,I2,FALSE,1
12,2,I3,FALSE,0
12,2,IV1,FALSE,3
12,2,IV2,FALSE,1
12,2,IV3,FALSE,1
12,2,S,FALSE,3
12,2,SV,FALSE,8
12,4,I1,FALSE,1
12,4,I2,FALSE,1
12,4,I3,FALSE,1
12,4,IV1,FALSE,3
12,4,IV2,FALSE,4
12,4,IV3,FALSE,0
12,4,S,FALSE,2
12,4,SV,FALSE,6
12,6,I1,FALSE,2
12,6,I2,FALSE,0
12,6,I3,FALSE,1
12,6,IV1,FALSE,3
12,6,IV2,FALSE,4
12,6,IV3,FALSE,3
12,6,S,FALSE,1
12,6,SV,FALSE,4
12,8,I1,FALSE,2
12,8,I2,FALSE,0
12,8,I3,FALSE,0
12,8,IV1,FALSE,4
12,8,IV2,FALSE,0
12,8,IV3,FALSE,3
12,8,S,FALSE,0
12,8,SV,FALSE,9
12,10,I1,FALSE,1
12,10,I2,FALSE,0
12,10,I3,FALSE,0
12,10,IV1,FALSE,4
12,10,IV2,FALSE,1
12,10,IV3,FALSE,1
12,10,S,FALSE,0
12,10,SV,FALSE,10
12,15,I1,FALSE,0
12,15,I2,FALSE,0
12,15,I3,FALSE,0
12,15,IV1,FALSE,0
12,15,IV2,FALSE,0
12,15,IV3,FALSE,1
12,15,S,FALSE,0
12,15,SV,FALSE,16
